Aachen Merzbrück;EDKA;N50°49'23'';E006°11'11''
Aalen Heidenheim;EDPA;N48°46'40'';E010°15'53''
Achmer;EDXA;N52°22'39";E007°54'49"
Agathazeller Moos;;N47°33'22'';E010°16'20''
Ahlhorn;ETNA;N52°53'18'';E008°13'59''
Ahrenlohe;EDHO;N53°42'00";E009°44'26"
Aichach;;N48°28'24";E011°08'07"
Ailertchen;EDGA;N50°35'36";E007°56'42"
Albstadt Degerfeld;EDSA;N48°14'59'';E009°03'37''
Alkersleben;EDBA;N50°50'28'';E011°04'13''
Allendorf;EDFQ;N51°02'07";E008°40'45"
Allgaeu;EDJA;N47°59'20";E010°14'22"
Allstedt;EDBT;N51°22'50";E011°26'48"
Allersberg;;N49°15'26'';E011°13'23''
Alsfeld;;N50°45'02";E009°14'55"
Altdorf Hagenhausen;;N49°23'12'';E011°25'17''
Altdorf Wallburg;EDSW;N48°16'17'';E007°50'32''
Alte Ems Herbrum;;N53°01'53'';E007°18'17''
Altena Hegenscheid;EDKD;N51°18'46'';E007°42'40''
Altenbachtal;;N49°55'22";E009°09'28"
Altenburg Nobitz;EDAC;N50°58'55'';E012°30'23''
Altenstadt;ETHA;N47°50'08";E010°52'16"
Altfeld;;N49°49'55";E009°32'14"
Altötting;;N48°12'59";E012°38'55"
Am Hohen Polster;;N50°29'21'';E010°03'10''
Am Salzgittersee;;N52°10'16'';E010°18'59''
Am Stauffenberg;;N51°21'42'';E009°37'39''
Amöneburg;;N50°47'24'';E008°54'21''
Ampfing;EDNA;N48°15'47'';E012°24'40''
An Den Sieben Bergen;;N52°03'30'';E009°48'39''
Andernach;;N50°22'24'';E007°26'19''
Anklam;EDCA;N53°49'54'';E013°40'23''
Annaberg;;N50°34'26'';E013°01'25''
Ansbach Mil;ETEB;N49°18'30'';E010°38'18''
Ansbach Petersdorf;EDQF;N49°21'36'';E010°40'16''
Anspach Taunus;EDFA;N50°17'22'';E008°32'13''
Antersberg;;N47°57'47'';E011°59'44''
Arnbruck;EDNB;N49°07'31'';E012°59'06''
Arnsberg;EDLA;N51°29'00'';E007°53'58''
Arnsberg Ruhrwiel;;N51°23'46'';E008°03'57''
Aschaffenburg;EDFC;N49°56'20'';E009°03'45''
Aschersleben;EDCQ;N51°45'55'';E011°29'55''
Asperden Knobbenhof;EDLG;N51°41'27'';E006°06'13''
Asslarer Hütte;;N50°35'53'';E008°26'38''
Attendorn;EDKU;N51°08'42'';E007°56'09''
Aue Bei Hattorf;;N51°37'59'';E010°15'08''
Auerbach;EDOA;N50°29'49'';E012°22'44''
Augsburg Mühlhausen;EDMA;N48°25'31'';E010°55'54''
Aukrug;;N54°03'51'';E009°48'03''
Aventoft;;N54°53'46'';E008°49'11''
Babenhausen;;N49°56'56'';E008°57'56''
Backnang Heining;EDSH;N48°55'11'';E009°27'19''
Bad Berka;EDOB;N50°54'16'';E011°15'26''
Bad Brückenau;;N50°16'19'';E009°49'26''
Bad Buchau;;N48°03'28'';E009°38'51''
Bad Ditzenbach;EDPB;N48°33'46'';E009°43'45''
Bad Dürkheim;EDRF;N49°28'23'';E008°11'47''
Bad Endorf/Jolling;EDPC;N47°55'40'';E012°17'19''
Bad Frankenhausen;EDOF;N51°22'24'';E011°08'30''
Bad Gandersheim;EDVA;N51°51'15'';E010°01'40''
Bad Kissingen;EDFK;N50°12'38'';E010°04'08''
Bad Königshofen;;N50°17'15'';E010°25'20''
Bad Kreuznach;;N49°51'06'';E007°53'26''
Bad Langensalza;EDEB;N51°07'46'';E010°37'16''
Bad Marienberg;;N50°39'40'';E008°01'39''
Bad Neuenahr Ahrweiler;EDRA;N50°33'31'';E007°08'12''
Bad Neustadt Saale;EDFD;N50°18'20'';E010°13'36''
Bad Pyrmont;EDVW;N51°58'03'';E009°17'35''
Bad Tölz;;N47°45'54'';E011°35'43''
Bad Waldsee;;N47°54'52'';E009°41'56''
Bad Wildungen;;N51°05'46'';E009°08'46''
Bad Windsheim;EDQB;N49°30'36'';E010°21'59''
Bad Wörishofen;EDNH;N48°00'59'';E010°36'58''
Bad Zwischenahn;;N53°12'39'';E007°59'20''
Baden Baden;EDTB;N48°47'31'';E008°11'12''
Baldenau;;N48°52'26'';E008°12'50''
Ballenstedt;EDCB;N51°44'35'';E011°13'40''
Baltrum;EDWZ;N53°43'31'';E007°22'20''
Bamberg;ETEJ;N49°55'11'';E010°54'55''
Barssel;EDXL;N53°09'53'';E007°47'37''
Barth;EDBH;N54°20'17'';E012°42'36''
Bartholomä;;N48°44'12'';E010°00'28''
Basepohl Mil;;N53°44'46'';E012°57'25''
Baumerlenbach;;N49°13'51'';E009°25'05''
