A Coruna Spain L;LECO;N43°18'08";W008°22'38"
Ablitas Na;;N42°00'30";W001°37'16"
Ainsa Coscojuela;;N42°20'45";E000°11'14"
Albacete;LEAB;N38°56'54";W001°51'48"
Alcolea A F;;N37°56'35";W004°36'55"
Aldea Del Cano;;N39°17'21";W002°19'04"
Aldea2del Cano;;N39°19'45";W006°20'37"
Alfes Albatarrec;;N41°32'56";E000°38'56"
Algodor Toledo;;N39°53'10";W003°52'58"
Alia Guadalupe C;;N39°20'37";W005°11'32"
Alicante;LEAL;N38°16'56";W000°33'30"
Almargo Ergencia;;N38°57'16";W003°44'24"
Almeria;LEAM;N36°50'38";W002°22'12"
Almuradiel Cr;;N38°30'21";W003°25'47"
Alvarado 2;;N38°50'00";W006°48'00"
Ampuriabrava;LEAP;N42°15'42";E003°06'42"
Arguineguin;;N27°46'05";W015°39'45"
Asturias;LEAS;N43°33'49";W006°02'05"
Ayllon Gld;;N41°24'39";W003°26'54"
Badajoz Talavera;LEBZ;N38°53'29";W006°49'17"
Bailen El Barran;;N38°02'18";W003°45'51"
Balaguer;;N41°47'33";E000°48'21"
Balica Benicolet;;N38°55'10";W000°21'07"
Barbastro Aero;;N41°59'42";E000°05'36"
Barcelona El Pra;LEBL;N41°17'50";E002°04'43"
Beas De Segu Gld;;N38°16'16";W002°56'56"
Benabarre Gld;;N42°01'22";E000°28'56"
Beteta Aerodromo;;N40°31'54";W002°04'32"
Bilbao;LEBB;N43°18'04";W002°54'39"
Bollullos Julian;;N37°17'42";W006°09'45"
Bonillo;;N38°52'10";W002°40'18"
Burgos Villafria;LEBG;N42°21'27";W003°37'14"
Caceres;;N39°26'00";W006°22'00"
Calaf Bellvei;;N41°44'38";E001°33'47"
Calamocha Teruel;LECH;N40°54'00";W001°18'15"
Calderina;;N39°21'33";W003°47'42"
Campillo Paravie;;N39°55'58";W001°31'30"
Campolara;;N40°53'51";W004°31'16"
Caparacena Aerov;;N37°17'49";W003°43'17"
Cardona Aero;;N41°53'19";E001°36'42"
Casar To;;N39°46'16";W003°36'17"
Casarrubios;;N40°14'06";W004°01'35"
Casas De Hitos B;;N39°13'00";W005°27'00"
Casatejada Cc;;N39°57'49";W005°40'30"
Castejon Demoneg;;N41°37'05";W000°14'18"
Castellon De La;LECN;N40°00'06";E000°01'36"
Caudete Ab;;N38°44'14";W000°58'03"
Cdesos;;N42°31'57";E000°29'30"
