Abbeville Gld;LFOI;N50°08'35";E001°49'54"
Agen La Garenne;LFBA;N44°10'29";E000°35'26"
Aire Sur L Adour;LFDA;N43°42'34";W000°14'46"
Aires Aero;;N43°54'14";E000°02'32"
Aix En Diois Cls;;N44°41'21";E005°24'32"
Aix Les Milles;LFMA;N43°30'06";E005°22'15"
Ajaccio Campo;LFKJ;N41°55'26";E008°48'09"
Albe Prv;;N48°20'30";E007°19'00"
Albert Bray Gld;LFAQ;N49°58'20";E002°41'26"
Albertville;LFKA;N45°37'38";E006°19'45"
Albi Le Sequestr;LFCI;N43°54'48";E002°07'00"
Alencon Gld;LFOF;N48°26'51";E000°06'30"
Ales Deaux;LFMS;N44°04'22";E004°08'35"
Allaines Santill;;N48°09'09";E001°51'07"
Amberieu;LFXA;N45°58'47";E005°20'16"
Ambert Le Poyet;LFHT;N45°31'01";E003°44'45"
Ambleteuse;;N50°49'01";E001°36'58"
Amboise Dierre;LFEF;N47°20'26";E000°56'28"
Amiens Glisy Gld;LFAY;N49°52'23";E002°23'13"
Amou Aero;;N43°35'06";W000°45'51"
Ancenis;LFFI;N47°24'28";W001°10'42"
Andernos Les Bai;LFCD;N44°45'22";W001°03'51"
Andouille Le Ter;;N48°10'24";W000°50'47"
Angers Marce Gld;LFJR;N47°33'37";W000°18'44"
Angouleme Gld;LFBU;N45°43'46";E000°13'09"
Annecy Meythetr;LFLP;N45°55'51";E006°06'23"
Annemasse;LFLI;N46°11'31";E006°16'08"
Arbois Gld;LFGD;N46°55'12";E005°45'34"
Arcachon Gld;LFCH;N44°35'55";W001°06'56"
Argentan;LFAJ;N48°42'38";E000°00'11"
Argentine Aero;;N45°27'58";E000°23'17"
Argenton Creuse;LFEG;N46°35'45";E001°36'04"
Arras Roclin Gld;LFQD;N50°19'26";E002°48'10"
Aspres Sur Buec;LFNJ;N44°31'06";E005°44'08"
Aubenas Ardeche;LFHO;N44°32'22";E004°22'18"
Aubenasson Gld;LFJF;N44°41'47";E005°09'15"
Aubigny Nordere;LFEH;N47°28'50";E002°23'36"
Auch Lamothe Gld;LFDH;N43°41'13";E000°36'00"
Augignac Aero Pr;;N45°33'00";E000°42'00"
Aurillac;LFLW;N44°53'51";E002°25'00"
Autun Bellevue;LFQF;N46°58'21";E004°15'42"
Auxerre Branches;LFLA;N47°50'47";E003°29'48"
Avallon;LFGE;N47°30'11";E003°53'56"
Averon Bedeille;;N43°44'49";E000°04'15"
Avignon Caumont;LFMV;N43°54'24";E004°54'07"
Avignon Puja Gld;LFNT;N43°59'49";E004°45'18"
Avord;LFOA;N47°03'25";E002°38'20"
Avranches;LFRW;N48°39'42";W001°24'19"
Bagneres Gld;LFCB;N42°48'00";E000°35'57"
Bagnoles De L O;LFAO;N48°32'44";W000°23'04"
Baie De Bandol;;N43°08'12";E005°46'00"
Baie De Menton;;N43°46'42";E007°31'30"
Bailleau Gld;LFFL;N48°30'53";E001°38'19"
