Aberdeen Dyce;EGPD;N57°12'07";W002°11'52"
Abingdon Rwy X;EGUD;N51°41'28";W001°19'01"
Aboyne Cluho Gld;;N57°04'31";W002°50'34"
Alconbury;EGWZ;N52°22'26";W000°13'17"
Alderney;EGJA;N49°42'22";W002°12'53"
Andrewsfield;EGSL;N51°53'42";E000°26'57"
Arbroath Gld;;N56°34'51";W002°36'55"
Ashbourne Se Rwy;;N53°00'01";W001°41'49"
Ashcroft;;N53°09'50";W002°34'10"
Aston Down Gld;;N51°42'21";W002°07'55"
Audley End;;N52°00'32";E000°13'35"
Badminton;;N51°33'00";W002°17'54"
Bagby Thirsk Prv;EGNG;N54°12'40";W001°17'24"
Ballkelly;EGQB;N55°04'01";W007°01'05"
Barkston Heath;EGYE;N52°57'44";W000°33'42"
Barra Uk;EGPR;N57°01'22";W007°26'35"
Barrow Walne Gld;EGNL;N54°07'52";W003°15'49"
Beccles;EGSM;N52°26'07";E001°37'06"
Bedford Thur Gld;;N52°13'51";W000°27'47"
Belfast City;EGAC;N54°37'05";W005°52'21"
Belle Vue Ul;;N50°28'30";W004°05'24"
Bembridge;EGHJ;N50°40'41";W001°06'34"
Benbecula;EGPL;N57°28'52";W007°21'46"
Benson8;EGUB;N51°36'59";W001°05'45"
Bentwaters;EGVJ;N52°08'02";E001°25'55"
Beverley Linley;EGNY;N53°53'54";W000°21'41"
Bicester;EGDD;N51°54'55";W001°08'12"
Bidford Hangar;;N52°08'26";W001°50'51"
Biggin1hill;EGKB;N51°19'51";E000°01'57"
Birmingham Gb;EGBB;N52°27'14";W001°44'53"
Bishops C;;N54°18'25";W005°34'14"
Blackbushe;EGLK;N51°19'26";W000°50'51"
Blackpool;EGNH;N53°46'18";W003°01'43"
Bodmin;EGLA;N50°29'59";W004°39'57"
Bognor Re;;N50°48'12";W000°39'25"
Boscombe Down;EGDM;N51°09'08";W001°44'50"
Bourn;EGSN;N52°12'38";W000°02'33"
Bournemouth;EGHH;N50°46'48";W001°50'33"
Bovington Gld;;N50°42'44";W002°13'18"
Breighton;;N53°48'22";W000°54'40"
Brent Tor Gld;;N50°35'32";W004°09'06"
Bristol;EGGD;N51°22'58";W002°43'09"
Bristol Filton;EGTG;N51°31'10";W002°35'27"
Brize Norton;EGVN;N51°45'00";W001°35'01"
Brough;EGNB;N53°43'11";W000°33'59"
Bruntingthorpe R;;N52°29'35";W001°07'43"
Bryngwn Bach Gld;;N53°16'08";W003°21'30"
Burn Gld;;N53°44'37";W001°05'02"
Caernarfon;EGCK;N53°06'15";W004°20'25"
Cambridge;EGSC;N52°12'18";E000°10'30"
Campbeltown;EGEC;N55°26'14";W005°41'11"
Camphill Gld;;N53°18'18";W001°43'45"
Cardiff;EGFF;N51°23'48";W003°20'36"
Carlisle;EGNC;N54°56'15";W002°48'33"
Carlton Gld;;N54°24'29";W001°12'07"
Chalgrove U King;EGLJ;N51°40'28";W001°05'07"
Challock Gld;EGKE;N51°12'30";E000°49'45"
Chichester;EGHR;N50°51'34";W000°45'33"
Chipping Gld;;N53°53'10";W002°37'15"
Chivenor A F R W;EGDC;N51°05'14";W004°09'01"
Church Fenton;EGXG;N53°50'04";W001°11'44"
Clacton;EGSQ;N51°47'06";E001°07'48"
Colerne Mil;EGUO;N51°26'27";W002°16'48"
Coll Ballard;;N56°36'00";W006°37'05"
Colonsay;;N56°03'00";W006°15'05"
Coltishall;EGYC;N52°45'17";E001°21'28"
Compton Abbas;EGHA;N50°58'02";W002°09'13"
Coningsby;EGXC;N53°05'35";W000°09'58"
Cosford;EGWC;N52°38'24";W002°18'20"
Cottesmore;EGXJ;N52°44'09";W000°38'55"
Coventry;EGBE;N52°22'11";W001°28'47"
Cranfield Gld;EGTC;N52°04'20";W000°37'00"
Cranwell;EGYD;N53°01'49";W000°29'00"
Cromer Northrepp;;N52°54'11";E001°19'45"
Cross Hayes Gld;;N52°47'29";W001°48'52"
Crowfield;EGSO;N52°10'16";E001°06'40"
Crowland Eas Gld;;N52°42'49";W000°08'10"
Culdrose;EGDR;N50°05'10";W005°15'21"
Cumbernauld;EGPG;N55°58'29";W003°58'32"
Currock Hill Gld;;N54°56'04";W001°50'27"
Dallachy Old Gld;;N57°39'26";W003°03'57"
Deanland Lewes;EGKL;N50°52'44";E000°09'23"
Deenethorpe;;N52°30'23";W000°35'21"
Denham;EGLD;N51°35'18";W000°30'47"
Deptford Down;;N51°11'02";W001°58'05"
Derby Gb;EGBD;N52°51'35";W001°37'03"
Dishforth A F R;EGXD;N54°08'14";W001°25'13"
Doncaster Sheffi;EGCN;N53°28'29";W001°00'16"
Dornoch;;N57°52'20";W004°01'35"
Dounreay Thurso;EGPY;N58°35'02";W003°43'36"
Dundee;EGPN;N56°27'09";W003°01'33"
Dunkeswell;EGTU;N50°51'36";W003°14'05"
Dunsfold;EGTD;N51°07'02";W000°32'09"
