Albenga;LIMG;N44°02'45";E008°07'32"
Alessandria;LILA;N44°55'28";E008°37'32"
Alghero Fertilia;LIEA;N40°37'52";E008°17'19"
Alzate Brianza;LILB;N45°46'10";E009°09'40"
Amendola;LIBA;N41°32'29";E015°43'05"
Ancona Falconara;LIPY;N43°37'00";E013°21'37"
Aosta;LIMW;N45°44'19";E007°22'05"
Aquino;LIAQ;N41°29'08";E013°43'08"
Arezzogar Gld;LIQB;N43°27'19";E011°50'50"
Asiago;LIDA;N45°53'16";E011°30'59"
Aviano;LIPA;N46°01'55";E012°35'47"
Bari Palese;LIBD;N41°08'17";E016°45'54"
Belluno;LIDB;N46°10'00";E012°14'53"
Benevento Airpor;;N41°11'00";E014°45'00"
Bergamo Orio;LIME;N45°40'08";E009°42'01"
Biella Cerrione;LILE;N45°30'00";E008°06'07"
Bologna;LIPE;N44°31'51";E011°17'49"
Bolzano Bozen;LIPB;N46°27'37";E011°19'35"
Brescia Montichi;LIPO;N45°25'44";E010°19'50"
Brindisi Casale;LIBR;N40°39'38";E017°56'53"
Busano Erficie;;N45°18'00";E007°40'00"
Ca Negra;;N45°04'58";E012°09'20"
Cagliari Elmas M;LIEE;N39°14'50";E009°03'22"
Calcinate Piemon;LILC;N45°48'33";E008°46'06"
Cameri Mil;LIMN;N45°31'52";E008°39'55"
Caprino Wrong;;N45°35'48";E010°46'27"
Capua;LIAU;N41°06'55";E014°10'41"
Carpi Budrione;LIDU;N44°50'04";E010°52'19"
Casale Monferrat;LILM;N45°06'38";E008°27'23"
Cascia Aviosuper;;N42°45'00";E013°01'00"
Catania Fontanar;LICC;N37°28'00";E015°03'50"
Catania Sigonell;LICZ;N37°24'21";E014°55'26"
Celano;;N42°02'46";E013°32'50"
Ceresara;;N45°15'53";E010°35'01"
Cervia;LIPC;N44°13'32";E012°18'29"
Cinquale Massa A;;N43°45'07";E010°08'35"
Citta Di Castell;;N43°29'21";E012°14'21"
Comina Pordenone;;N45°59'42";E012°39'24"
Consalvo;;N43°07'00";E010°44'00"
Corfinio;;N42°06'36";E013°50'31"
Cortina Mil Clsd;;N46°34'32";E012°06'53"
Costa D Argento;;N42°29'43";E011°12'45"
Cremona Migliaro;LILR;N45°10'00";E010°00'08"
Crotone;LIBC;N38°59'48";E017°04'45"
Cuneo Levaldigi;LIMZ;N44°32'45";E007°37'18"
Decimomannu;LIED;N39°21'16";E008°58'17"
Enemonzo;;N46°24'12";E012°53'01"
Fano;LIDF;N43°49'31";E013°01'40"
Ferrara Gld;LIPF;N44°48'55";E011°36'49"
Florence;LIRQ;N43°48'32";E011°12'11"
Foggia Gino;LIBF;N41°25'58";E015°32'07"
Foligno;LIAF;N42°55'56";E012°42'37"
Forli;LIPK;N44°11'44";E012°04'10"
Fraforeano;;N45°50'00";E013°01'00"
Francavilla Bisi;;N44°43'48";E008°43'48"
Frosinone;LIRH;N41°38'42";E013°17'56"
Gattinara;;N45°36'25";E008°19'57"
Genova Sestri;LIMJ;N44°24'48";E008°50'15"
Ghedi Mil;LIPL;N45°26'09";E010°16'13"
Giooa Del Colle;LIBV;N40°45'56";E016°56'03"
Gorizia;LIPG;N45°54'22";E013°35'58"
Grazzanise;LIRM;N41°03'43";E014°04'58"
Grosseto;LIRS;N42°45'35";E011°04'19"
Grumento Airport;;N40°15'20";E015°54'53"
Gualdo Tadino;;N43°16'13";E012°44'28"
Guidonia Gld;LIRG;N41°59'46";E012°44'05"
Il Borroosuperfi;;N43°32'27";E011°42'09"
Ivrea Montal Dor;;N45°29'10";E007°51'48"
L Aquila Preturo;LIAP;N42°22'50";E013°18'37"
Lamezia Terme;LICA;N38°54'30";E016°14'30"
Lampedusa;LICD;N35°29'53";E012°37'06"
Latina;LIRL;N41°32'44";E012°54'33"
Lecce;LIBN;N40°14'20";E018°08'07"
Lecce Lepore;LINL;N40°21'27";E018°17'38"
Legnago;LIDL;N45°07'57";E011°17'33"
Lucca Tassignano;LIQL;N43°49'42";E010°34'41"
Lugo Di Romagna;LIDG;N44°23'51";E011°51'18"
